epoch,train_loss,val_dice,val_iou,time_s,is_best
1,1.0385,0.8188,0.7200,93,True
2,0.7612,0.8379,0.7474,79,True
3,0.5877,0.8481,0.7593,85,True
4,0.4645,0.8725,0.7925,82,True
5,0.3796,0.8803,0.8042,84,True
6,0.3300,0.8760,0.7977,80,False
7,0.2961,0.8925,0.8206,82,True
8,0.2711,0.8971,0.8265,83,True
9,0.2566,0.8939,0.8215,85,False
10,0.2385,0.8979,0.8293,82,True
11,0.2433,0.8921,0.8228,90,False
12,0.2302,0.8873,0.8118,82,False
13,0.2156,0.9001,0.8329,83,True
14,0.2018,0.9035,0.8367,80,True
15,0.2062,0.9011,0.8338,80,False
16,0.1956,0.8921,0.8217,80,False
17,0.1956,0.9011,0.8325,78,False
18,0.1841,0.8931,0.8202,80,False
19,0.1916,0.8985,0.8300,81,False
20,0.1881,0.9000,0.8314,81,False
21,0.1813,0.8989,0.8308,77,False
22,0.1811,0.9023,0.8350,77,False
23,0.1813,0.8971,0.8286,78,False
24,0.1716,0.8999,0.8316,77,False
25,0.1707,0.8911,0.8188,81,False
26,0.1717,0.8986,0.8301,77,False
27,0.1694,0.8844,0.8122,79,False
28,0.1654,0.8993,0.8319,78,False
29,0.1635,0.9043,0.8375,78,True
30,0.1609,0.9044,0.8363,76,True
31,0.1602,0.9002,0.8329,87,False
32,0.1679,0.8990,0.8306,85,False
33,0.1640,0.9034,0.8357,84,False
34,0.1713,0.9020,0.8338,79,False
35,0.1575,0.9005,0.8321,78,False
36,0.1593,0.8968,0.8284,76,False
37,0.1494,0.8998,0.8315,77,False
38,0.1464,0.8986,0.8301,78,False
39,0.1438,0.9017,0.8343,80,False
40,0.1434,0.8985,0.8284,80,False
41,0.1541,0.9039,0.8361,77,False
42,0.1425,0.9002,0.8320,76,False
43,0.1436,0.9001,0.8320,79,False
44,0.1413,0.9025,0.8363,81,False
45,0.1366,0.8992,0.8317,78,False
46,0.1384,0.8971,0.8265,81,False
47,0.1568,0.8922,0.8235,86,False
48,0.1569,0.8964,0.8276,83,False
49,0.1440,0.9009,0.8323,83,False
50,0.1379,0.9033,0.8368,84,False
51,0.1318,0.9000,0.8318,81,False
52,0.1363,0.8959,0.8251,79,False
53,0.1304,0.8967,0.8259,80,False
54,0.1307,0.8992,0.8296,77,False
55,0.1312,0.8999,0.8332,78,False
56,0.1284,0.9006,0.8326,78,False
57,0.1293,0.9000,0.8301,79,False
58,0.1323,0.9045,0.8374,77,True
59,0.1278,0.8990,0.8303,79,False
60,0.1323,0.9052,0.8387,77,True
61,0.1303,0.8979,0.8274,77,False
62,0.1366,0.9029,0.8352,78,False
63,0.1305,0.9047,0.8377,78,False
64,0.1346,0.8999,0.8319,78,False
65,0.1733,0.8998,0.8332,78,False
66,0.1439,0.8980,0.8309,77,False
67,0.1387,0.9028,0.8342,76,False
68,0.1458,0.8954,0.8256,77,False
69,0.1482,0.8998,0.8313,79,False
70,0.1382,0.8987,0.8285,76,False
71,0.1299,0.8972,0.8291,78,False
72,0.1305,0.8981,0.8275,77,False
73,0.1250,0.8992,0.8304,76,False
74,0.1201,0.9021,0.8350,78,False
75,0.1210,0.8975,0.8279,76,False
76,0.1156,0.8992,0.8315,76,False
77,0.1216,0.8982,0.8306,77,False
78,0.1121,0.8998,0.8315,75,False
79,0.1118,0.8971,0.8283,77,False
80,0.1119,0.9014,0.8344,76,False
81,0.1104,0.9016,0.8343,76,False
82,0.1104,0.9003,0.8321,76,False
83,0.1108,0.9010,0.8341,77,False
84,0.1122,0.9027,0.8356,76,False
85,0.1131,0.8992,0.8301,77,False
86,0.1130,0.9009,0.8326,77,False
87,0.1270,0.9008,0.8331,77,False
88,0.1175,0.8993,0.8313,76,False
89,0.1085,0.9006,0.8339,76,False
90,0.1020,0.8960,0.8258,75,False
91,0.1023,0.9035,0.8367,77,False
92,0.0989,0.8958,0.8255,77,False
93,0.0978,0.9043,0.8383,77,False
94,0.0968,0.8986,0.8314,77,False
95,0.0979,0.9015,0.8343,76,False
96,0.0962,0.8964,0.8281,76,False
97,0.0953,0.8943,0.8245,77,False
98,0.0971,0.9007,0.8338,76,False
99,0.0993,0.8978,0.8280,76,False
100,0.1217,0.8889,0.8174,76,False
