epoch,train_loss,val_dice,val_iou,time_s,is_best
1,0.800261,0.842485,0.751512,86.7,True
2,0.501415,0.888086,0.812595,83.3,True
3,0.404521,0.872292,0.79742,87.3,False
4,0.35124,0.890169,0.814917,83.2,True
5,0.300086,0.893074,0.823126,85.0,True
6,0.283625,0.890963,0.816559,85.7,False
7,0.257558,0.897529,0.826813,78.5,True
8,0.240386,0.902106,0.833719,83.4,True
9,0.229318,0.891647,0.8191,81.1,False
10,0.22873,0.899927,0.830636,82.5,False
11,0.226221,0.895267,0.825847,84.3,False
12,0.217578,0.897448,0.829104,82.8,False
13,0.213771,0.898064,0.830308,82.4,False
14,0.202452,0.896115,0.827377,82.3,False
15,0.193432,0.898165,0.829265,79.0,False
16,0.193292,0.899322,0.830544,79.5,False
17,0.190234,0.902027,0.834734,79.3,False
18,0.198424,0.904338,0.837188,79.9,True
19,0.191418,0.898592,0.829614,81.4,False
20,0.187229,0.898407,0.83033,80.8,False
21,0.177975,0.904018,0.837854,80.2,False
22,0.167752,0.893387,0.821804,79.4,False
23,0.171573,0.901066,0.833063,78.0,False
24,0.164558,0.901042,0.83348,80.3,False
25,0.182517,0.897856,0.828033,82.1,False
26,0.168931,0.902547,0.834781,79.0,False
27,0.177699,0.897008,0.826787,77.7,False
28,0.173254,0.902303,0.835115,79.4,False
29,0.165373,0.886822,0.811887,79.6,False
30,0.157278,0.899061,0.831342,79.6,False
31,0.152865,0.898361,0.830495,82.6,False
32,0.152527,0.900348,0.833006,79.4,False
33,0.157069,0.899788,0.831517,80.4,False
34,0.142931,0.896854,0.826864,80.4,False
35,0.141758,0.901158,0.833084,79.5,False
36,0.138509,0.900291,0.831923,80.2,False
37,0.136016,0.898471,0.829753,78.8,False
38,0.133233,0.892072,0.823558,78.5,False
39,0.130393,0.897977,0.829249,79.7,False
40,0.147337,0.895106,0.825408,81.8,False
41,0.151629,0.89668,0.826357,78.9,False
42,0.13537,0.896808,0.82802,80.2,False
43,0.137915,0.892948,0.823,80.3,False
44,0.149902,0.898881,0.832128,80.3,False
45,0.132582,0.899924,0.832218,78.0,False
46,0.129904,0.899066,0.832,79.6,False
47,0.128669,0.890717,0.821054,79.5,False
48,0.159889,0.901284,0.832286,79.2,False
49,0.140409,0.896069,0.82593,78.8,False
50,0.127958,0.90042,0.834,80.0,False
51,0.1285,0.896076,0.827346,79.2,False
52,0.144063,0.891254,0.8236,79.6,False
53,0.138097,0.900959,0.834489,78.1,False
54,0.125324,0.901071,0.832576,79.0,False
55,0.118772,0.898385,0.830735,80.2,False
56,0.119897,0.898865,0.830841,80.0,False
57,0.11522,0.898619,0.830647,78.8,False
58,0.114241,0.901926,0.834721,78.6,False
59,0.112102,0.900852,0.833023,80.0,False
60,0.106715,0.897244,0.829896,79.4,False
61,0.111295,0.900984,0.833677,80.5,False
62,0.110604,0.8962,0.828429,80.9,False
63,0.115626,0.892186,0.823371,80.3,False
64,0.122386,0.889337,0.818158,79.1,False
65,0.113784,0.893681,0.823885,79.9,False
66,0.11587,0.897911,0.83124,80.3,False
67,0.111733,0.898137,0.829964,80.5,False
68,0.10302,0.894186,0.825563,81.5,False
69,0.102182,0.89932,0.831824,81.2,False
70,0.100834,0.897233,0.827926,81.0,False
71,0.101326,0.890959,0.824552,80.9,False
72,0.11652,0.894946,0.829019,78.2,False
73,0.132637,0.896892,0.828023,81.2,False
74,0.127231,0.894751,0.826134,78.4,False
75,0.110891,0.894969,0.82631,78.7,False
76,0.105396,0.895114,0.827625,79.6,False
77,0.105269,0.897847,0.829317,80.3,False
78,0.100005,0.902679,0.836484,80.6,False
79,0.113574,0.896748,0.828615,80.4,False
80,0.107928,0.895437,0.828529,80.5,False
81,0.101649,0.894218,0.825263,81.9,False
82,0.099704,0.896906,0.829003,80.3,False
83,0.097037,0.897847,0.829863,81.4,False
84,0.093771,0.903251,0.838078,79.0,False
85,0.094143,0.888047,0.817366,80.9,False
86,0.097607,0.900835,0.834291,81.4,False
87,0.124271,0.895385,0.827636,80.6,False
88,0.109922,0.892154,0.822332,80.1,False
89,0.099301,0.895429,0.826993,79.2,False
90,0.094673,0.900662,0.834428,80.4,False
91,0.096549,0.895359,0.825859,80.4,False
92,0.093367,0.898645,0.831749,82.6,False
93,0.097987,0.891921,0.825089,81.6,False
94,0.096118,0.896639,0.828861,78.4,False
95,0.095296,0.902933,0.836248,78.9,False
96,0.101307,0.894669,0.825201,80.6,False
97,0.110643,0.891933,0.822559,80.7,False
98,0.108847,0.895991,0.828591,81.3,False
99,0.111666,0.893491,0.822802,78.8,False
100,0.115624,0.888331,0.820109,80.8,False
